"CDUID","obs_totalpop","mean_obs_per_observer","stderror","observer_totalpop","tot_nb_obs","taxa"
"2401",7.96812749003984e-05,1,NA,7.96812749003984e-05,1,"fish"
"2402",5.60852495793606e-05,1,NA,5.60852495793606e-05,1,"fish"
"2403",5.70776255707763e-05,1,NA,5.70776255707763e-05,1,"fish"
"2404",8.5397096498719e-05,1,NA,8.5397096498719e-05,1,"fish"
"2405",5.69962952408093e-05,1,NA,5.69962952408093e-05,1,"fish"
"2406",6.76361176868448e-05,1,NA,6.76361176868448e-05,1,"fish"
"2407",5.53097345132743e-05,1,NA,5.53097345132743e-05,1,"fish"
"2408",4.69043151969981e-05,1,NA,4.69043151969981e-05,1,"fish"
"2409",5.49450549450549e-05,1,NA,5.49450549450549e-05,1,"fish"
"2410",1.88643652141105e-05,1,NA,1.88643652141105e-05,1,"fish"
"2411",0.00011454753722795,1,NA,0.00011454753722795,1,"fish"
"2412",3.05576776165011e-05,1,NA,3.05576776165011e-05,1,"fish"
"2413",5.02008032128514e-05,1,NA,5.02008032128514e-05,1,"fish"
"2414",4.88400488400488e-05,1,NA,4.88400488400488e-05,1,"fish"
"2415",6.31512472371329e-05,1,NA,6.31512472371329e-05,1,"fish"
"2416",7.75795190069822e-05,1,NA,7.75795190069822e-05,1,"fish"
"2417",5.54170130229981e-05,1,NA,5.54170130229981e-05,1,"fish"
"2418",4.49236298292902e-05,1,NA,4.49236298292902e-05,1,"fish"
"2419",2.92098729370527e-05,1,NA,2.92098729370527e-05,1,"fish"
"2420",0.000152788388082506,1,NA,0.000152788388082506,1,"fish"
"2421",3.92079984316801e-05,1,NA,3.92079984316801e-05,1,"fish"
"2422",2.73336066694e-05,1,NA,2.73336066694e-05,1,"fish"
"2423",7.45302266650518e-06,1,0,7.45302266650518e-06,4,"fish"
"2425",7.3618728604557e-06,1,NA,7.3618728604557e-06,1,"fish"
"2426",2.89561314608368e-05,1,NA,2.89561314608368e-05,1,"fish"
"2427",5.3248136315229e-05,1,NA,5.3248136315229e-05,1,"fish"
"2428",6.00600600600601e-05,1,NA,6.00600600600601e-05,1,"fish"
"2429",2.00380723374411e-05,1,NA,2.00380723374411e-05,1,"fish"
"2430",4.63070155128502e-05,1,NA,4.63070155128502e-05,1,"fish"
"2431",0.000120235661897319,5,NA,2.40471323794638e-05,5,"fish"
"2432",4.40528634361234e-05,1,NA,4.40528634361234e-05,1,"fish"
"2433",0.000138240884741662,4,NA,3.45602211854156e-05,4,"fish"
"2434",2.08073241781107e-05,1,NA,2.08073241781107e-05,1,"fish"
"2435",7.91452314998021e-05,1,NA,7.91452314998021e-05,1,"fish"
"2436",2.08181534297908e-05,1,NA,2.08181534297908e-05,1,"fish"
"2437",6.9199363365857e-06,1,NA,6.9199363365857e-06,1,"fish"
"2438",5.12557662737058e-05,1,NA,5.12557662737058e-05,1,"fish"
"2439",1.48544266191325e-05,1,NA,1.48544266191325e-05,1,"fish"
"2440",7.09219858156028e-05,1,NA,7.09219858156028e-05,1,"fish"
"2441",4.61573967228248e-05,1,NA,4.61573967228248e-05,1,"fish"
"2442",3.44411916652316e-05,1,NA,3.44411916652316e-05,1,"fish"
"2443",6.65535256730225e-06,1,NA,6.65535256730225e-06,1,"fish"
"2444",5.39228902669183e-05,1,NA,5.39228902669183e-05,1,"fish"
"2445",0.000588049984248661,7,4.70814896394185,8.40071406069516e-05,28,"fish"
"2446",9.19963201471941e-05,1.66666666666667,0.666666666666667,5.51977920883165e-05,5,"fish"
"2447",4.82363581549593e-05,1.33333333333333,0.333333333333333,3.61772686162195e-05,4,"fish"
"2448",6.6711140760507e-05,1,NA,6.6711140760507e-05,1,"fish"
"2449",1.04302477183833e-05,1,NA,1.04302477183833e-05,1,"fish"
"2450",4.5382346267302e-05,1,NA,4.5382346267302e-05,1,"fish"
"2451",2.82485875706215e-05,1,NA,2.82485875706215e-05,1,"fish"
"2452",2.44678248103744e-05,1,NA,2.44678248103744e-05,1,"fish"
"2453",6.03986309643648e-05,3,NA,2.01328769881216e-05,3,"fish"
"2454",0.000122159784998778,3.33333333333333,1.45296631451356,3.66479354996335e-05,10,"fish"
"2455",0.000288350634371396,5,4,5.76701268742791e-05,10,"fish"
"2456",0.000169302740031187,4.75,2.17466472511665,3.56426821118289e-05,19,"fish"
"2457",9.58146422194155e-05,2.75,1.43614066163451,3.48416880797875e-05,11,"fish"
"2458",9.66220425391256e-05,9.5,5.33072853057316,1.0170741319908e-05,38,"fish"
"2459",5.44959128065395e-05,2,1,2.72479564032698e-05,4,"fish"
"2460",8.42743974380583e-06,1,NA,8.42743974380583e-06,1,"fish"
"2461",1.6214025131739e-05,1,NA,1.6214025131739e-05,1,"fish"
"2462",0.00014416640922665,3.5,2.5,4.11904026361858e-05,7,"fish"
"2463",2.09511837418814e-05,1,NA,2.09511837418814e-05,1,"fish"
"2464",6.78035054412313e-06,1,NA,6.78035054412313e-06,1,"fish"
"2465",7.63893309567764e-06,1,0,7.63893309567764e-06,3,"fish"
"2466",3.79506641366224e-06,1.4,0.244948974278318,2.71076172404446e-06,7,"fish"
"2467",0.000442133449574991,23.6666666666667,14.2633952635564,1.86816950524644e-05,71,"fish"
"2468",7.81097441905878e-05,1,0,7.81097441905878e-05,2,"fish"
"2469",4.78812544888676e-05,1,NA,4.78812544888676e-05,1,"fish"
"2470",3.31400165700083e-05,1,0,3.31400165700083e-05,2,"fish"
"2471",4.35161009573542e-05,3,2,1.45053669857847e-05,6,"fish"
"2472",5.28652992175936e-05,1.66666666666667,0.333333333333333,3.17191795305561e-05,5,"fish"
"2473",3.30939537346527e-05,5,NA,6.61879074693054e-06,5,"fish"
"2474",4.80769230769231e-05,1,0,4.80769230769231e-05,2,"fish"
"2475",1.77147918511957e-05,1,0,1.77147918511957e-05,2,"fish"
"2476",0.000159184972938555,1.25,0.25,0.000127347978350844,5,"fish"
"2477",0.000226415094339623,4.5,0.5,5.0314465408805e-05,9,"fish"
"2478",0.000181159420289855,2.66666666666667,1.66666666666667,6.79347826086957e-05,8,"fish"
"2479",0.000175901495162709,1.5,0.288675134594813,0.000117267663441806,6,"fish"
"2480",0.000136332651670075,1.5,0.5,9.08884344467167e-05,3,"fish"
"2481",1.5286429472236e-05,1.33333333333333,0.333333333333333,1.1464822104177e-05,4,"fish"
"2482",0.000173404140023843,1.6,0.4,0.000108377587514902,8,"fish"
"2483",9.89119683481701e-05,1,0,9.89119683481701e-05,2,"fish"
"2484",0.000353731871241599,1.25,0.25,0.000282985496993279,5,"fish"
"2485",6.1652281134402e-05,1,NA,6.1652281134402e-05,1,"fish"
"2486",2.50093785169439e-05,1,NA,2.50093785169439e-05,1,"fish"
"2487",4.8661800486618e-05,1,NA,4.8661800486618e-05,1,"fish"
"2488",4.20786871449611e-05,1,NA,4.20786871449611e-05,1,"fish"
"2489",2.37783854476281e-05,1,NA,2.37783854476281e-05,1,"fish"
"2490",6.70465973851827e-05,1,NA,6.70465973851827e-05,1,"fish"
"2491",3.23206205559147e-05,1,NA,3.23206205559147e-05,1,"fish"
"2492",4.0983606557377e-05,1,NA,4.0983606557377e-05,1,"fish"
"2493",1.95541650371529e-05,1,NA,1.95541650371529e-05,1,"fish"
"2494",1.85603365607696e-05,1,0,1.85603365607696e-05,3,"fish"
"2495",8.95255147717099e-05,1,NA,8.95255147717099e-05,1,"fish"
"2496",3.19539862597859e-05,1,NA,3.19539862597859e-05,1,"fish"
"2497",2.56508913684751e-05,1,NA,2.56508913684751e-05,1,"fish"
"2498",8.66926744690074e-05,1,NA,8.66926744690074e-05,1,"fish"
"2499",2.35904694503421e-05,1,NA,2.35904694503421e-05,1,"fish"
